uid,title,aired from,aired to,episodes,members,popularity,ranked,score
208,R.O.D: Read or Die,2001-05-23,2002-02-06,3.0,52221,1840,1108.0,7.72
39491,Psycho-Pass 3,2019-10-25,2019-12-13,8.0,105540,1055,1107.0,7.72
10507,Inazuma Eleven Go,2011-05-04,2012-04-11,47.0,39398,2217,3301.0,7.12
36950,Yuragi-sou no Yuuna-san OVA,2018-07-04,2018-12-04,3.0,26951,2732,3286.0,7.13
464,One Piece Movie 6: Omatsuri Danshaku to Himitsu no Shima,2005-03-05,,1.0,55949,1751,1106.0,7.72
19383,Yami Shibai,2013-07-15,2013-09-30,13.0,62528,1624,3285.0,7.13
3614,Yakushiji Ryouko no Kaiki Jikenbo,2008-07-06,2008-09-28,13.0,14363,3732,3284.0,7.13
7592,Nurarihyon no Mago,2010-07-06,2010-12-21,24.0,191354,565,1105.0,7.72
13171,Wasurenagumo,2012-03-12,,1.0,27393,2705,3283.0,7.13
6567,Urusei Yatsura: The Shougaibutsu Suieitaikai,2008-12-23,,1.0,3145,6902,3282.0,7.13
876,Street Fighter II V,1995-04-10,1995-11-27,29.0,19504,3231,3280.0,7.13
12709,Tales of Symphonia The Animation: Sekai Tougou-hen Specials,2011-11-23,2012-10-24,3.0,5141,5694,3281.0,7.13
6098,Sora no Manimani,2009-07-07,2009-09-22,12.0,35807,2320,3279.0,7.13
3138,"Solty Rei: Surechigau Kimochi de, Omoi Au Kokoro de.",2006-07-26,,1.0,3279,6799,3278.0,7.13
2758,Shippuu! Iron Leaguer,1993-04-06,1994-03-29,52.0,826,9915,3277.0,7.13
938,Shin Getter Robo tai Neo Getter Robo,2000-12-21,2001-06-25,4.0,3582,6566,3276.0,7.13
33031,Shakunetsu no Takkyuu Musume,2016-10-04,2016-12-20,12.0,31673,2488,3275.0,7.13
20973,Sekai Seifuku: Bouryaku no Zvezda,2014-01-12,2014-03-30,12.0,106758,1040,3274.0,7.13
30013,Super Short Comics,2015-11-02,2015-12-21,8.0,416,11403,9024.0,5.79
40312,Southpaw,2019-08-27,,1.0,237,12895,9023.0,5.79
9965,Soukou Kyojin Z-Knight,1991-12-30,,1.0,215,13124,9022.0,5.79
40158,Shinrabanshou.mp3,2018-02-22,,1.0,103,15345,9021.0,5.79
574,Rean no Tsubasa,2005-12-16,2006-08-18,6.0,2944,7049,9020.0,5.79
37532,Random (web edit ver.),2014-04-19,,1.0,122,14860,9019.0,5.79
38063,Oshiego ni Kyouhaku Sareru no wa Hanzai Desu ka?,2018-07-23,,1.0,536,10921,9017.0,5.79
22569,Pom Pom Purin no Usagi to Kame,2001-10-26,,1.0,204,13360,9018.0,5.79
14181,Oedo wa Nemurenai!,1993-07-23,,1.0,525,10902,9016.0,5.79
29757,Mori no e,2011-02-27,,1.0,374,11655,9015.0,5.79
20667,Mobile Suit Gundam: Zeonic Front - Indignation of Zeon.,2001-09-06,,1.0,1457,8707,9014.0,5.79
36640,Mashiro Witch,2017-03-14,,1.0,157,14277,9013.0,5.79
21421,Mahou Shoujo Taisen,2014-04-08,2014-09-30,26.0,14949,3665,9012.0,5.79
18643,Kita e: Pure Session,2000-05-31,,1.0,351,11781,9011.0,5.79
2525,Kekkou Kamen,1991-08-01,1992-03-01,4.0,3723,6462,9010.0,5.79
36528,Kakyuusei (TV): Hajimemashite Tina!,2000-03-24,,1.0,377,11647,9009.0,5.79
10354,Kakomareta Sekai,1998-01-01,,1.0,1261,9036,9008.0,5.79
2599,Juusenki L-Gaim I: Pentagona Window + Lady Gyabure,1986-11-05,,1.0,670,10328,9007.0,5.79
38295,Joshikausei,2019-04-06,2019-06-22,12.0,33891,2399,9006.0,5.79
2365,Grandeek,2000-11-01,,1.0,1333,8900,9004.0,5.79
7354,Chikara to Onna no Yo no Naka,1933-04-13,,1.0,359,11726,9002.0,5.79
22621,Ahiru no Pekkle no Hihou wo Sagase,1993-04-21,,1.0,241,12792,9001.0,5.79
39018,"Right Places: Sono Toki, Boku no Irubeki Basho",2013-10-25,,1.0,201,13435,8994.0,5.8
23895,REACH x Thermae Romae: Pietrada no Kekkon,2014-04-13,,1.0,511,10969,8993.0,5.8
30886,Mu Di,1963-01-01,,1.0,408,11450,8989.0,5.8
36436,Mobile Suit Gundam: Twilight Axis - Akaki Zan-ei,2017-11-18,,1.0,2153,7795,8988.0,5.8
4097,Nanmu Ichibyousokusai,1973-01-01,,1.0,446,11229,8990.0,5.8
40181,Look Plus One Piece Special Movie,2019-07-29,,1.0,589,10766,8987.0,5.8
36582,Life: Jinsei no Taisetsu na Toki ni...,2013-03-28,,1.0,126,14813,8986.0,5.8
2346,Koroshiya 1 The Animation: Episode 0,2002-09-27,,1.0,7649,4830,8985.0,5.8
36822,Kirakira,2011-08-23,,1.0,112,15030,8983.0,5.8
2072,Idol Project,1995-09-22,1997-10-24,4.0,1434,8727,8981.0,5.8
4147,Gang-aji Ttong,2003-07-25,,1.0,2661,7275,8978.0,5.8
17693,Erementar Gerad: Aozora no Senki,2005-03-19,,1.0,1211,9133,8977.0,5.8
33972,Cyphers,2011-06-08,2016-05-14,3.0,548,10804,8976.0,5.8
12157,Busou Chuugakusei: Basket Army,2011-12-22,2012-12-20,5.0,5609,5489,8975.0,5.8
1664,Babel Nisei (2001),2001-10-05,2001-12-28,13.0,2378,7529,8973.0,5.8
33390,Zunda Horizon,2017-03-11,,1.0,1082,9367,8971.0,5.8100000000000005
33777,Yodomi no Sakagi,2014-01-01,,1.0,467,11156,8970.0,5.8100000000000005
5303,Xabungle Graffiti,1983-07-09,,1.0,480,11090,8969.0,5.8100000000000005
1076,Wizardry,1991-02-21,,1.0,1815,8173,8968.0,5.8100000000000005
3192,Tobira wo Akete,1986-11-01,,1.0,1494,8639,8967.0,5.8100000000000005
34538,"Soushin Shoujo Matoi: Yuma-chin, Matomemashita - Nanimo Kitenakute... Natsu",2016-12-27,,1.0,2204,7724,8966.0,5.8100000000000005
37537,Sobakasu,2015-08-25,,1.0,1300,8980,8965.0,5.8100000000000005
1866,Seirei Tsukai,1995-04-01,,1.0,2477,7442,8964.0,5.8100000000000005
16506,San Ge Heshang,1980-01-01,,1.0,329,11926,8963.0,5.8100000000000005
1944,Photon,1997-11-21,1999-02-18,6.0,10849,4186,3273.0,7.13
39165,Oki ni Mesu mama,2017-11-28,,1.0,361,11796,3272.0,7.13
1199,Nintama Rantarou,1993-04-10,,,4057,6242,3271.0,7.13
2151,Nils no Fushigi na Tabi,1980-01-08,1981-03-17,52.0,3967,6308,3270.0,7.13
4662,Neo Angelique Abyss: Second Age,2008-07-07,2008-09-29,13.0,16240,3541,3269.0,7.13
8234,Muumin,1969-10-05,1970-12-27,65.0,3750,6449,3268.0,7.13
1968,Mobile Suit Zeta Gundam: A New Translation II - Lovers,2005-10-29,,1.0,8059,4751,3266.0,7.13
24171,Mushibugyou OVA,2014-07-18,2015-01-16,3.0,5798,5416,3267.0,7.13
11761,Medaka Box,2012-04-05,2012-06-21,12.0,175910,616,3265.0,7.13
7496,Saiyuuki: Son Gokuu Monogatari,1926-01-01,,1.0,918,9694,8962.0,5.8100000000000005
38485,Readyyy!,2018-08-26,,1.0,238,12892,8961.0,5.8100000000000005
1261,Kyattou Ninden Teyandee,1990-02-01,1991-02-12,54.0,9729,4384,3262.0,7.13
2261,Malice@Doll,2001-04-27,2001-06-22,3.0,2721,7218,8959.0,5.8100000000000005
21715,Makkuramori no Uta,1985-08-01,,1.0,210,13220,8958.0,5.8100000000000005
24995,Moonfesta,2012-06-03,,1.0,176,13816,8960.0,5.8100000000000005
31815,"Kono Danshi, Mahou ga Oshigoto Desu.",2016-02-05,2016-02-26,4.0,18369,3336,3261.0,7.13
9159,Kaibutsu Oujo (OVA),2010-12-09,2011-10-07,3.0,10807,4197,3260.0,7.13
37307,K: Seven Stories Movie 6 - Circle Vision - Nameless Song,2018-12-01,,1.0,9420,4462,3259.0,7.13
8206,Hime Chen! Otogi Chikku Idol Lilpri,2010-04-04,2011-03-27,51.0,7798,4803,3258.0,7.13
38023,Lipton #watashitolipton,2018-07-20,2018-10-26,3.0,203,13390,8956.0,5.8100000000000005
23597,Legend of Basara: Shinbashi Theater,2002-09-27,,1.0,343,11834,8955.0,5.8100000000000005
12101,Mahou Shoujo Lyrical Nanoha: Lyrical Toy Box,2001-06-29,,1.0,2560,7366,8957.0,5.8100000000000005
8667,Koi Hanabi,2002-08-02,,1.0,366,11695,8953.0,5.8100000000000005
5842,Kotatsu Neko (ONA),2005-02-01,,2.0,911,9702,8954.0,5.8100000000000005
29770,Kikyuu,2013-09-25,,1.0,470,11128,8952.0,5.8100000000000005
3726,Karasu Tengu Kabuto: Ougon no Me no Kemono,1992-07-24,,1.0,1048,9409,8951.0,5.8100000000000005
8526,Honey Tokyo,2010-04-01,,1.0,1709,8300,8945.0,5.8100000000000005
35800,Ginga,2016-05-10,,1.0,457,11207,8944.0,5.8100000000000005
9732,Full Moon Party,2006-01-01,,1.0,1394,8802,8943.0,5.8100000000000005
39793,Ever Green Never End,2019-05-08,,1.0,208,13286,8942.0,5.8100000000000005
30420,Dr. Slump: Arale-chan no Koutsuu Anzen,1983-01-01,,1.0,454,11219,8941.0,5.8100000000000005
11471,Dororo Pilot,1968-01-01,,1.0,1949,8033,8940.0,5.8100000000000005
5918,Deimos no Hanayome: Ran no Kumikyoku,1988-08-31,,1.0,3380,6729,8939.0,5.8100000000000005
30923,Colorful Ninja Iromaki,2016-03-19,,1.0,803,9964,8936.0,5.8100000000000005
6761,Cynical Hysterie Hour: Yoru wa Tanoshii,1989-04-08,,1.0,203,13312,8938.0,5.8100000000000005
6762,Cynical Hysterie Hour: Utakata no Uta,1989-06-24,,1.0,227,12931,8937.0,5.8100000000000005
14537,Cinnamon no Parade,2012-06-21,,1.0,329,11927,8935.0,5.8100000000000005
7420,Byulbyul Iyagi,2005-09-23,,6.0,353,11762,8934.0,5.8100000000000005
6189,Baton,2009-04-28,2009-09-27,3.0,1958,8004,8933.0,5.8100000000000005
33564,Armed Blue Gunvolt,2017-02-09,,1.0,6193,5284,8932.0,5.8100000000000005
6412,Yuki Terai,2000-09-20,,6.0,421,11374,8931.0,5.8
16648,Youchien Senshi: Hanamaru Girls,2010-08-25,,3.0,1797,8202,8930.0,5.82
32454,Usakame,2016-04-12,2016-06-28,12.0,9153,4507,8928.0,5.82
26447,Uchuusen Sagittarius Pilot,1982-01-01,,1.0,191,13564,8927.0,5.82
31348,Xue Haizi,1980-12-01,,1.0,175,13845,8929.0,5.82
2273,Mobile Suit Gundam Wing: Endless Waltz Movie,1998-08-01,,1.0,45629,2014,734.0,7.89
4080,Kyou kara Maou! 3rd Series,2008-04-03,2009-02-19,39.0,25570,2804,733.0,7.89
11887,Kokoro Connect,2012-07-08,2012-09-30,13.0,498307,135,732.0,7.89
254,Jungle wa Itsumo Hare nochi Guu Deluxe,2002-08-25,2003-01-25,6.0,10497,4248,731.0,7.89
29283,Uchuu Kaizoku Mito no Daibouken Pilot,1999-01-01,,1.0,275,12394,8926.0,5.82
11135,Hybrid Child,2014-10-29,2015-01-28,4.0,48435,1942,730.0,7.89
13119,Hakuouki Movie 2: Shikon Soukyuu,2014-03-08,,1.0,15583,3615,729.0,7.89
25891,Stitch to Suna no Wakusei,2012-06-16,,1.0,451,11227,8925.0,5.82
29755,Haikyuu!! Movie 1: Owari to Hajimari,2015-07-03,,1.0,31962,2479,728.0,7.89
13141,Shiba Inuko-san,2012-04-01,2012-09-23,26.0,7998,4766,8924.0,5.82
267,Gungrave,2003-10-07,2004-03-30,26.0,137057,812,727.0,7.89
12133,Sekaikei Sekai Ron,2009-01-01,,1.0,889,9761,8923.0,5.82
4872,Goku Sayonara Zetsubou Sensei,2008-10-17,2009-02-17,3.0,51621,1858,726.0,7.89
3665,Ginga Eiyuu Densetsu Gaiden (1999),1999-12-24,2001-06-27,28.0,13321,3845,725.0,7.89
37150,Douluo Dalu,2018-01-20,2018-07-14,26.0,8935,4566,724.0,7.89
19305,Nyuru Nyuru!! Kakusen-kun,2013-07-09,2013-12-24,25.0,454,11206,8922.0,5.82
6768,Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,2009-07-24,,1.0,34345,2372,723.0,7.89
2080,Majokko Club Yoningumi: A Kuukan kara no Alien X,1987-07-28,,1.0,756,10081,8921.0,5.82
12403,Yuru Yuri♪♪,2012-07-03,2012-09-18,12.0,130757,859,722.0,7.9
39597,Sword Art Online: Alicization - War of Underworld,2019-10-13,2019-12-29,12.0,189943,568,721.0,7.9
15771,Saint☆Oniisan (Movie),2013-05-10,,1.0,56150,1753,720.0,7.9
82,Mobile Suit Gundam 0080: War in the Pocket,1989-03-25,1989-08-25,6.0,36514,2298,719.0,7.9
23129,Mahou no Princess Minky Momo: Hitomi no Seiza - Minky Momo Song Special,1987-01-21,,1.0,347,11808,8920.0,5.82
27503,Karen Senki,2014-09-27,2014-12-06,11.0,10148,4316,8919.0,5.82
30133,"Ima, Futari no Michi",2015-03-08,,1.0,507,10965,8918.0,5.82
13255,Haru wa Kuru,2012-01-27,,1.0,734,10143,8917.0,5.82
1115,Handsome Girl,1992-01-21,,1.0,2689,7248,8916.0,5.82
1496,Fushigi no Kuni no Miyuki-chan,1995-06-21,,2.0,9438,4445,8914.0,5.82
5501,Gun x Sword-san,2005-10-21,2006-10-25,13.0,2580,7344,8915.0,5.82
10533,Fujilog,2011-04-04,2011-06-27,13.0,397,11513,8913.0,5.82
37484,Duel Masters!,2018-04-01,2019-03-31,51.0,746,10107,8911.0,5.82
3968,Dragoon,1997-07-25,1997-11-28,3.0,1313,8931,8910.0,5.82
2382,Firestorm,2003-04-06,2003-09-28,26.0,975,9570,8912.0,5.82
30571,Chouon Senshi Borgman: Madnight☆Gigs!,1989-02-08,,1.0,338,11879,8909.0,5.82
35610,Chizu no Nai Bouken,2017-05-19,,1.0,245,12721,8908.0,5.82
6959,GA: Geijutsuka Art Design Class: Aozora ga Kakitai,2010-04-02,,1.0,3993,6293,3257.0,7.13
1796,Dirty Pair: The Movie,1987-03-14,,1.0,5640,5474,3255.0,7.13
2517,Eikoku Koi Monogatari Emma: Intermission,2007-04-21,,1.0,4221,6145,3256.0,7.13
6747,Dance in the Vampire Bund,2010-01-07,2010-04-01,12.0,170199,642,3253.0,7.13
4522,Bounty Hunter: The Hard,1996-05-01,,1.0,794,9983,8907.0,5.82
37103,Danganronpa 3: Monokuma Gekijou,2016-10-27,2016-12-21,3.0,7770,4832,3254.0,7.13
2199,Chirin no Suzu,1978-03-11,,1.0,7125,4978,3252.0,7.13
33729,Chain Chronicle: Haecceitas no Hikari Part 2,2017-01-14,,1.0,11991,4017,3251.0,7.13
35676,Berserk: Majo no Tsuisou,2017-06-02,,1.0,9802,4382,8906.0,5.82
38551,Beat in Love (2018),2018-10-16,,1.0,192,13547,8905.0,5.82
8227,Akuma-kun: Youkoso Akuma Land e!!,1990-03-10,,1.0,358,11725,8904.0,5.82
29707,Yume no Ukiyo ni Saitemina,2015-01-19,,1.0,1204,9153,8903.0,5.83
9829,Yonimo Osoroshii Nihon Mukashibanashi,2000-01-01,,3.0,991,9539,8902.0,5.83
6718,Yamato 2520,1994-11-21,1996-08-25,3.0,1274,9008,8901.0,5.84
3863,Sweet Valerian Specials,2005-06-22,2005-09-28,8.0,779,10020,8898.0,5.83
21773,Sugar*Soldier,2014-01-14,2014-01-28,3.0,9051,4527,8897.0,5.83
31321,Shounen to Sakura,1983-07-01,,1.0,252,12628,8895.0,5.83
28631,Studio Khara vs. CyberConnect2 Gachinko! Animation Taiketsu!,2014-11-14,,2.0,389,11586,8896.0,5.83
676,Refrain Blue,2000-06-23,2000-10-27,3.0,1724,8275,8894.0,5.83
6792,Mobile Suit SD Gundam Mk V,1990-10-25,,3.0,1864,8113,8893.0,5.83
10679,Maria†Holic: Run Run Riru Ran Ran Rara,2011-04-28,,1.0,3483,6642,8892.0,5.83
6571,Koume-chan ga Iku!,1999-08-01,1999-10-01,12.0,749,10101,8891.0,5.83
5472,Kokoro Toshokan: Communication Clips,2002-01-01,,1.0,605,10575,8890.0,5.82
12237,Koi-ken!: Watashitachi Anime ni Nacchatta!,2012-03-01,2012-05-24,12.0,4255,6127,8889.0,5.83
38922,Kimi ga Mita Sora wa,2018-12-27,,1.0,150,14382,8888.0,5.83
37311,Kemurikusa,2011-05-01,2012-03-01,2.0,1037,9461,8887.0,5.83
13207,Himitsukessha Taka no Tsume Gaiden: Mukashi no Yoshida-kun,2012-01-22,2012-03-18,9.0,314,12041,8885.0,5.83
10908,Kakko Kawaii Sengen! 2,2011-08-26,2011-12-22,10.0,530,10867,8886.0,5.83
39182,H'or Cafe,2014-11-03,,1.0,104,15272,8884.0,5.83
11995,Guilstein,2002-06-15,,1.0,533,10847,8883.0,5.83
32755,Gregorio,2012-10-26,,1.0,250,12672,8882.0,5.83
9646,Goddamn,1990-04-27,1990-08-16,2.0,1554,8536,8881.0,5.83
17267,Futari wa Milky Holmes,2013-07-13,2013-09-28,12.0,8523,4632,8880.0,5.83
19519,Dream Creator feat. GUMI,2013-07-05,,1.0,946,9639,8878.0,5.83
30173,Fruity Samurai,2013-01-01,,13.0,380,11621,8879.0,5.83
37177,Da Shi Jie,2018-01-12,,1.0,421,11367,8877.0,5.83
983,Cosplay Complex: Extra Identification,2004-07-03,,1.0,2534,7383,8876.0,5.83
21025,Chang,2012-11-01,,1.0,509,10973,8874.0,5.83
33883,Chao You Bing,2014-04-25,2014-08-20,4.0,876,9810,8875.0,5.83
7164,Catman Specials,2002-01-01,,4.0,504,10984,8873.0,5.83
10435,Boyfriend,1992-02-11,,1.0,558,10740,8872.0,5.83
23781,Blade & Soul Specials,2014-06-25,2014-12-26,7.0,6953,5029,8871.0,5.83
15795,Beast Saga,2013-01-13,2013-09-22,38.0,1187,9172,8870.0,5.83
22451,Bad Badtz-Maru no Ookami ga Kita!,2001-07-20,,1.0,266,12478,8869.0,5.83
16319,Asako Get You!!,2013-01-26,,2.0,3382,6721,8868.0,5.83
35667,Ame no Ten Ten,1985-06-03,,1.0,208,13247,8867.0,5.83
5270,All That Gundam,1989-01-01,,1.0,3964,6310,8866.0,5.83
6076,"""Eiji""",1990-08-25,,1.0,1556,8535,8865.0,5.82
29970,Yell,2009-08-03,,1.0,151,14315,8864.0,5.84
33105,"Wake Up, Girl Zoo! Miyagi PR de Go!",2016-02-11,,1.0,863,9837,8862.0,5.84
25173,Xiao Kedou Zhao Mama,1960-01-01,,1.0,298,12163,8863.0,5.84
35250,Urahara,2017-10-04,2017-12-20,12.0,26969,2725,8861.0,5.84
34858,Toward Morning,2015-04-25,,1.0,137,14572,8860.0,5.84
31972,Tang Lang Bu Chan,1988-01-01,,1.0,315,12048,8859.0,5.84
31966,Sword Gai,2013-10-04,,1.0,2351,7591,8858.0,5.84
17991,Super Real Mahjong: Kasumi Miki Shouko no Hajimemashite,1990-03-25,,1.0,379,11632,8857.0,5.84
36815,Sakura no Chikai: Marronni☆Yell - Higashi no Hichou Shimotsuke-shi wo Yell!,2018-01-10,,1.0,533,10852,8855.0,5.84
31073,Show By Rock!!: Plasmagica na Gogo,2013-05-29,2013-06-12,3.0,1279,8998,8856.0,5.84
29834,Moshidora Recap,2011-08-16,,1.0,461,11173,8854.0,5.84
9878,Licca-chan to Yamaneko Hoshi no Tabi,1997-09-12,,1.0,362,11711,8852.0,5.84
17719,Mahoutsukai Sally (Movie),1990-03-10,,1.0,455,11205,8853.0,5.84
6993,Koneko no Rakugaki,1957-05-13,,1.0,1149,9242,8851.0,5.84
3390,Hoshi no Umi no Amuri,2008-04-01,2008-09-26,3.0,2847,7122,8844.0,5.84
8213,Hoka Hoka Kazoku,1976-10-01,1982-03-31,1428.0,428,11334,8843.0,5.84
9264,Hana no Ko Lunlun: Konnichiwa Sakura no Kuni,1980-03-15,,1.0,689,10269,8841.0,5.84
36763,Himawari,2017-09-09,,1.0,167,13991,8842.0,5.84
38650,Hakyuu Houshin Engi: Kou-ke no Chi,2018-10-31,,1.0,884,9788,8840.0,5.84
7139,Gdleen,1990-03-01,,1.0,756,10073,8839.0,5.84
2065,Gall Force: New Era,1991-12-01,1992-01-26,2.0,1529,8576,8838.0,5.84
16405,"Boku no Imouto wa ""Osaka Okan""",2012-12-22,2013-03-16,12.0,16442,3523,8837.0,5.84
22565,Bad Badtz-Maru no Ari to Kirigirisu,2001-09-21,,1.0,239,12805,8836.0,5.84
21775,Yugami-kun ni wa Tomodachi ga Inai,2013-11-26,2014-09-18,2.0,1794,8213,8834.0,5.85
39836,Yami Shibai 7,2019-07-08,2019-09-30,13.0,7320,4937,8833.0,5.85
6721,Ankoku Cat,2006-12-19,2008-05-13,6.0,2130,7809,8835.0,5.84
1973,X Densha de Ikou,1987-11-06,,1.0,2109,7829,8832.0,5.85
1743,Super Milk-chan,1998-06-18,1998-09-17,14.0,3370,6731,8829.0,5.85
12005,What's Michael?,1985-11-25,,1.0,581,10659,8830.0,5.85
1712,Shin Seiki Den Mars,2002-10-31,2003-02-06,13.0,915,9699,8828.0,5.85
1939,SD Gundam Gaiden,1990-04-25,1991-04-21,4.0,2129,7805,8826.0,5.85
16381,Santa Company,2014-10-25,,1.0,3576,6598,8824.0,5.85
31115,Schick x Evangelion,2015-05-11,,2.0,4512,6005,8825.0,5.85
27455,Porong Porong Pororo 3,2009-05-04,2009-10-27,52.0,180,13755,8823.0,5.85
10758,Momotarou,1918-03-01,,1.0,397,11515,8822.0,5.85
8936,Melody,2008-01-01,,1.0,1302,8954,8820.0,5.85
9087,"Mobile Suit SD Gundam Musha, Knight, Commando",1991-03-16,1991-08-22,2.0,1299,8965,8821.0,5.85
10519,Mahou Shoujo Sonico★Magica,2011-04-01,,1.0,17197,3444,8819.0,5.85
20117,Kotowaza House,1987-04-04,1994-09-28,773.0,279,12359,8817.0,5.85
37934,Mahou Shoujo Lyrical Nanoha StrikerS Picture Drama,2015-02-25,,1.0,634,10483,8818.0,5.85
27519,Konna Watashitachi ga Nariyuki de Heroine ni Natta Kekka www (TV),2014-10-07,2014-12-23,12.0,391,11570,8816.0,5.85
32107,Itoshi no Muco OVA,2016-04-22,,1.0,305,12109,8814.0,5.85
1220,Hoshizora Kiseki,2006-07-21,,1.0,9711,4388,8811.0,5.85
6787,Goulart Knights: Evoked the Beginning Black,2010-12-25,,1.0,9577,4410,8809.0,5.85
1623,G-On Riders,2002-07-02,2002-10-01,13.0,3461,6655,8807.0,5.85
30450,Dr. Slump: Hoyoyo! Arale no Himitsu Dai Koukai dayo!!,1999-09-15,,1.0,635,10468,8806.0,5.85
37584,Bakumatsu,2018-10-05,2018-12-21,12.0,14878,3678,8805.0,5.85
10112,Alexandros no Ketsudan,2003-06-01,,1.0,402,11478,8803.0,5.85
6060,1-gatsu ni wa Christmas,1991-11-21,,1.0,629,10498,8801.0,5.85
25441,Shin Strange+ Special,2014-10-19,,1.0,1565,8525,8793.0,5.86
1643,Sailor Victory,1995-06-25,1995-08-25,2.0,1265,9022,8792.0,5.86
37717,"Oam Monogatari: Sono Natsu, Watashi ga Shitta koto",2018-04-08,,1.0,669,10348,8790.0,5.86
37562,Robot Girls Neo,2018-08-18,2018-09-01,3.0,1121,9290,8791.0,5.86
26085,Military!,2015-01-07,2015-03-25,12.0,30414,2549,8788.0,5.86
6355,Marie & Gali Episode Zero,2008-11-08,,1.0,1034,9442,8787.0,5.85
19971,Machi Ichiban no Kechinbou,1978-12-24,,1.0,317,12010,8785.0,5.86
5889,Long Dao Qi Yuan,2005-01-06,,1.0,633,10470,8784.0,5.86
668,Koi Koi 7,2005-04-02,2005-06-25,13.0,12988,3881,8781.0,5.86
9978,Kyouryuu Tankentai Born Free,1976-10-01,1977-03-25,25.0,532,10855,8782.0,5.86
5876,Izumo,1991-09-21,1991-10-21,2.0,611,10561,8779.0,5.86
2600,Juusenki L-Gaim II: Farewell My Lovely + Pentagona Doors,1987-01-10,,1.0,607,10564,8780.0,5.86
34622,Giant Robo,2007-07-27,,1.0,512,10962,8777.0,5.86
18389,Heisei Policemen!!,2013-04-11,2013-05-23,6.0,248,12687,8778.0,5.86
3669,Duel Masters Movie 1: Yami no Shiro no Maryuuou,2005-03-12,,1.0,1017,9473,8776.0,5.86
4158,Dore Dore no Uta,2005-11-16,,1.0,2286,7620,8775.0,5.86
19235,"Dance, Dance, Dance",2012-01-01,,1.0,642,10445,8773.0,5.86
29135,Chiisana Teien,2014-12-10,,1.0,313,12037,8772.0,5.86
18419,"Boku no Imouto wa ""Osaka Okan"": Uchi no Oniichan wa Tokyo Rule",2013-04-19,,1.0,3179,6872,8771.0,5.86
8939,Bohemian Rhapsody,2009-12-23,,1.0,4352,6073,8770.0,5.86
5478,Bikkuriman 2000,1999-11-01,2001-02-22,68.0,289,12222,8769.0,5.86
3675,Andromeda Stories,1982-08-22,,1.0,1281,8993,8768.0,5.86
33903,All-Free kono Natsu Ichioshi Monogatari Campaign Kokuchi Douga,2016-06-21,2016-07-12,12.0,1608,8463,8767.0,5.86
9433,A-jang.com,2001-11-22,2001-12-22,13.0,450,11217,8766.0,5.86
9608,Yuri Seijin Naoko-san,2010-12-18,,1.0,13288,3851,8765.0,5.87
23825,Ys IV: The Dawn of Ys,1993-01-01,,1.0,524,10909,8764.0,5.87
35115,Warau Salesman Episode 0,1989-10-10,,1.0,495,11054,8761.0,5.87
12135,Ra/Radio Noise*Planet,2010-01-01,,1.0,788,9998,8758.0,5.87
35684,Project Tokyo Dolls: Episode 0,2017-06-05,2017-06-09,3.0,150,14348,8757.0,5.87
14947,Onegai My Melody: Yuu & Ai,2012-08-11,,1.0,545,10787,8755.0,5.87
29795,Onigakure Yama no Soba no Hana,1979-01-01,,1.0,185,13633,8756.0,5.87
1620,Maps,1994-07-08,1995-02-24,4.0,1613,8440,8754.0,5.87
33529,Kubbe PV Full ver.,2012-05-15,,1.0,138,14546,8753.0,5.87
36440,Ku Pao Ying Xiong,2017-09-02,2018-02-17,26.0,2979,7027,8752.0,5.87
17485,Kiki to Lala no Ohimesama ni Naritai,1993-04-21,,1.0,218,13141,8751.0,5.87
30289,Dededen,2015-02-23,2015-12-14,5.0,338,11880,8747.0,5.87
16169,Choboraunyopomi Gekijou Ai Mai Mii,2013-01-03,2013-03-27,13.0,24348,2895,8746.0,5.87
36888,Chikatetsu ni Noru,2017-05-27,,1.0,248,12683,8745.0,5.87
35553,Ape,2014-05-15,,1.0,177,13828,8744.0,5.87
15423,Antinotice,2011-08-17,,1.0,1158,9218,8743.0,5.87
39890,Antae,2013-11-06,,1.0,118,14944,8742.0,5.87
29837,"Yakushiji Ryouko no Kaiki Jikenbo: Hamachou, Voice & Fiction",2009-01-21,,1.0,444,11261,8741.0,5.88
33026,Time Bokan 24,2016-10-01,2017-03-18,24.0,3823,6405,8740.0,5.88
8963,Stitch!: Piko Kara no Chousenjou,2009-06-26,,1.0,786,9996,8739.0,5.88
10525,Shinseiki Duel Masters Flash,2006-04-10,2007-03-23,24.0,520,10908,8737.0,5.88
10077,Sango no Umi to Ouji,2000-02-01,,1.0,314,12023,8736.0,5.88
39780,Popee the Performer: Countdown Special,,,1.0,214,13242,8735.0,5.88
3095,Sono Kinisasete yo: My My Mai,1993-12-16,1994-01-21,2.0,1777,8216,8738.0,5.88
33447,Piace: Watashi no Italian,2017-01-11,2017-03-29,12.0,12730,3918,8734.0,5.88
37881,Naniiro no Nani,2018-05-19,,1.0,441,11408,8732.0,5.88
12359,Pecola,2002-10-06,2003-03-30,26.0,286,12262,8733.0,5.88
2527,Kotetsu no Daibouken,1996-12-13,1997-01-10,2.0,2133,7793,8731.0,5.88
32448,Kirin Ashita no Calendar,1980-01-01,1984-10-06,1306.0,253,12615,8730.0,5.88
